Rank,Chapter,Segment ID,Strava URL,Total Efforts,Total Athletes,Total Distance,Male Leader,Male Leader Efforts,Female Leader,Female Leader Efforts,Last Updated
1,"Tempe, AZ",40744376,https://www.strava.com/segments/40744376,47493,377,"9,207.3 mi","Troy Croxdale",3559,"Kelsey McGill",2465,2026-02-01T14:13:38.441038+00:00
2,"Chattanooga, TN",40758296,https://www.strava.com/segments/40758296,45617,626,"14,569.3 mi","No leader yet",0,"Whitney Dancaster",1686,2026-02-01T14:13:38.441038+00:00
3,"Colorado Springs, CO",40774353,https://www.strava.com/segments/40774353,36495,123,"7,408.5 mi","Dante Liberato",3106,"Lynne Day",2014,2026-02-01T14:13:38.441038+00:00
4,"Redlands, CA",40744216,https://www.strava.com/segments/40744216,34248,249,"12,285.3 mi","TJ Zoggins ",2279,"Santa Barajas",1327,2026-02-01T14:13:38.441038+00:00
5,"Santa Barbara, CA",40748122,https://www.strava.com/segments/40748122,23471,155,"5,471.9 mi","Preston Explores",2576,"Morgan Solorio",1477,2026-02-01T14:13:38.441038+00:00
6,"Denver / Wheat Ridge, CO",40750921,https://www.strava.com/segments/40750921,21635,128,"5,888.1 mi","Matthew Hunsucker",2401,"Lou P",1929,2026-02-01T14:13:38.441038+00:00
7,"Boston, MA",40778729,https://www.strava.com/segments/40778729,20520,196,"4,426.9 mi","No leader yet",0,"Chelsea Loy",1786,2026-02-01T14:13:38.441038+00:00
8,"Ogden, UT",40785275,https://www.strava.com/segments/40785275,18433,117,"6,127.7 mi","Braden Perry",1905,"Joni Jones",1105,2026-02-01T07:35:42.931494+00:00
9,"Golden, CO",40773392,https://www.strava.com/segments/40773392,17635,97,"4,501.4 mi","Ben Wells",2381,"Lauren Boldt ",1705,2026-02-01T14:13:38.441038+00:00
10,"New York, NY",40755642,https://www.strava.com/segments/40755642,17168,132,"5,301.8 mi","Joe DeAngelo",2254,"Elise Gelbard",1081,2026-02-01T07:35:42.931494+00:00
11,"Flagstaff, AZ",40748849,https://www.strava.com/segments/40748849,16580,98,"4,947.1 mi","Pete Kostelnick",2022,"Andrea Moore 🦏🖤☠️🏴‍☠️",1894,2026-02-01T07:35:42.931494+00:00
12,"Boulder, CO",40763570,https://www.strava.com/segments/40763570,14833,202,"2,981.6 mi","No leader yet",0,"Kelsey Lakowske",1456,2026-02-01T07:35:42.931494+00:00
13,"Atlanta, GA #1",40747724,https://www.strava.com/segments/40747724,14024,4000,"2,275.2 mi","Omar Vega",860,"Kelly Daymude",410,2026-02-01T14:13:38.441038+00:00
14,"San Francisco, CA",40744617,https://www.strava.com/segments/40744617,13359,193,"2,408.9 mi","No leader yet",0,"Dian Chen",1695,2026-02-01T14:13:38.441038+00:00
15,"Oceanside, CA",40761585,https://www.strava.com/segments/40761585,12314,862,"2,498.2 mi","Deric Anthony",1059,"Mo Thornburg",950,2026-02-01T14:13:38.441038+00:00
16,"Arcata, CA",40759628,https://www.strava.com/segments/40759628,12117,53,"2,343.8 mi","No leader yet",0,"Jazz McGinnis",3098,2026-02-01T04:27:57.942658+00:00
17,"Toronto, Ontario",40748081,https://www.strava.com/segments/40748081,11278,49,"2,732.3 mi","Paul Vanoostveen",2505,"Rebeca Escobar",864,2026-02-01T07:35:42.931494+00:00
18,"Salida, CO",40770250,https://www.strava.com/segments/40770250,11274,98,"3,278.4 mi","Justin Walker",1886,"Sav Perdue",1095,2026-02-01T14:13:38.441038+00:00
19,"Las Vegas, NV",40748264,https://www.strava.com/segments/40748264,10910,84,"2,572.0 mi","Sam Longson",1147,"Maia Detmer",640,2026-02-01T14:13:38.441038+00:00
20,"Missoula, MT",18766988,https://www.strava.com/segments/18766988,10678,311,"1,938.7 mi","Matthew 'Man Dime' Kellenberger",1209,"Christy Von Lanken",1082,2026-02-01T14:13:38.441038+00:00
21,"Tucson, AZ",40748423,https://www.strava.com/segments/40748423,10122,39,"2,305.1 mi","Ben Gerkin",1454,"Devan Ortega",1095,2026-02-01T07:35:42.931494+00:00
22,"Santiago, CHILE",40787033,https://www.strava.com/segments/40787033,9432,71,"1,736.5 mi","Ian  Morgan ",1692,"Pati Sandoval 🇨🇱 ",1333,2026-02-01T14:13:38.441038+00:00
23,"Castle Rock, CO",40744240,https://www.strava.com/segments/40744240,8835,145,"2,453.9 mi","Ben Amstutz",1174,"Teresa Castagna",540,2026-02-01T04:27:57.942658+00:00
24,"Guadalajara Jalisco, MX",40760766,https://www.strava.com/segments/40760766,8626,47,"1,774.1 mi","Gerardo Jiménez",1215,"Sandy Lopez / ProTrail",1074,2026-02-01T07:35:42.931494+00:00
25,"Boise, ID",40752498,https://www.strava.com/segments/40752498,8625,45,"1,901.4 mi","David Yousling 🌱",1141,"Liv Sather",721,2026-02-01T07:35:42.931494+00:00
26,"Los Angeles, CA",40766678,https://www.strava.com/segments/40766678,8510,824,"1,577.3 mi","Gordon Clark",1013,"Jen R.",726,2026-02-01T14:13:38.441038+00:00
27,"Healdsburg, CA",40783110,https://www.strava.com/segments/40783110,8144,67,"1,500.4 mi","Sam Karthan",743,"Katherine Theus",558,2026-02-01T14:13:38.441038+00:00
28,"La Quinta, CA",40760530,https://www.strava.com/segments/40760530,7641,53,"2,309.8 mi","Juan Rodriguez",1400,"Mariana Anciso",725,2026-02-01T14:13:38.441038+00:00
29,"Eugene, OR",40817800,https://www.strava.com/segments/40817800,7015,62,"1,861.2 mi","Ryan Solberg",626,"cadence bronson",440,2026-02-01T04:27:57.942658+00:00
30,"Houston, TX",40747282,https://www.strava.com/segments/40747282,7014,65,"1,372.4 mi","Adam Kuskos",1402,"Shelby Moser",525,2026-02-01T04:27:57.942658+00:00
31,"Philadelphia, PA",40780698,https://www.strava.com/segments/40780698,6688,1554,"1,724.6 mi","Joe Banks",572,"Gaby Rice",386,2026-02-01T14:19:07.349992+00:00
32,"Bend, OR",40757491,https://www.strava.com/segments/40757491,6501,195,"1,879.9 mi","No leader yet",0,"Amy Sproston",666,2026-02-01T14:13:38.441038+00:00
33,"Fresno, CA",40757356,https://www.strava.com/segments/40757356,6227,49,"1,623.1 mi","No leader yet",0,"Runner Moe (Monique Jacques)",1164,2026-02-01T14:13:38.441038+00:00
34,"Chilliwack, BC",40792573,https://www.strava.com/segments/40792573,6169,153,"4,213.1 mi","Willem Hergesheimer",398,"Lainie McBride",230,2026-02-01T14:13:38.441038+00:00
35,"Seattle, WA #1",40780048,https://www.strava.com/segments/40780048,6148,603,"1,463.8 mi","Joel Gartenberg",801,"Victoria Ito",451,2026-02-01T07:35:42.931494+00:00
36,"Prescott, AZ",40752963,https://www.strava.com/segments/40752963,6043,56,"1,350.6 mi","No leader yet",0,"Carol Northrup",1048,2026-02-01T07:35:42.931494+00:00
37,"Koloa - Kauai, HI",40750718,https://www.strava.com/segments/40750718,5569,45,"1,117.3 mi","Derek Saiki",861,"Leila Miss",698,2026-02-01T14:13:38.441038+00:00
38,"Steamboat Springs, CO",40776005,https://www.strava.com/segments/40776005,5392,43,"2,086.6 mi","Pete S",783,"Jillian Albus",573,2026-02-01T07:35:42.931494+00:00
39,"Greenville, SC",11203356,https://www.strava.com/segments/11203356,5265,222,"1,319.0 mi","Steven Ellis",627,"Jess Loudermilk",317,2026-02-01T04:27:57.942658+00:00
40,"Bozeman, MT",40756889,https://www.strava.com/segments/40756889,4940,32,"1,114.2 mi","Shad Birkholz",842,"Grace Strand",503,2026-02-01T07:35:42.931494+00:00
41,"Tualatin, OR",10234021,https://www.strava.com/segments/10234021,4862,25,"1,588.4 mi","Tanner Swift",1007,"Lori Jensen",398,2026-02-01T07:52:05.922367+00:00
42,"West Reading, PA",40788579,https://www.strava.com/segments/40788579,4747,42,"1,173.9 mi","Alexander Nunn",705,"Kelly Ammon",600,2026-02-01T04:38:06.499557+00:00
43,"Windsor, CO",40753323,https://www.strava.com/segments/40753323,4716,38,"955.3 mi","Devan McKenney",922,"Sarah Robertson",534,2026-02-01T04:38:06.499557+00:00
44,"Sioux Falls, SD",40785112,https://www.strava.com/segments/40785112,4669,44,"1,370.2 mi","Lance Smith",839,"Jessica Walhof",236,2026-02-01T14:13:56.031792+00:00
45,"Vancouver, BC",40757542,https://www.strava.com/segments/40757542,4655,2172,"1,048.2 mi","Chase Martinig",418,"Sheryl Martini",36,2026-02-01T14:13:56.031792+00:00
46,"Nashville, TN",40756595,https://www.strava.com/segments/40756595,4622,39,"910.7 mi","Quintin Gay",700,"Carolyn Pippin",571,2026-02-01T04:38:06.499557+00:00
47,"Rochester, NY",40785036,https://www.strava.com/segments/40785036,4438,29,"1,335.8 mi","No leader yet",0,"Yaroslava Quirk",868,2026-02-01T04:38:06.499557+00:00
48,"Colwood, BC",40752650,https://www.strava.com/segments/40752650,4427,44,"794.1 mi","No leader yet",0,"Arianna Rumenovich",1001,2026-02-01T14:13:56.031792+00:00
49,"Buffalo, NY",40784069,https://www.strava.com/segments/40784069,4316,59,"1,499.9 mi","Jeffrey Adams",788,"Maura Tyrrell",372,2026-02-01T04:38:06.499557+00:00
50,"Palm Desert, CA",40761605,https://www.strava.com/segments/40761605,4083,19,"1,065.5 mi","Steven Bingham",1367,"Alice Rodriguez",700,2026-02-01T14:13:56.031792+00:00
51,"Reno, NV",40748703,https://www.strava.com/segments/40748703,4049,99,"1,125.8 mi","No leader yet",0,"Kayla Bicknell",746,2026-02-01T04:38:06.499557+00:00
52,"Idaho Springs, CO",40771919,https://www.strava.com/segments/40771919,3970,28,"1,110.8 mi","Tyler Talkington",1178,"chelsea vendegna",475,2026-02-01T04:38:06.499557+00:00
53,"Calgary, Alberta",40748818,https://www.strava.com/segments/40748818,3857,79,"782.0 mi","Neil Wagner",957,"Tina Ramen",320,2026-02-01T04:38:06.499557+00:00
54,"Scarborough, ME",40783979,https://www.strava.com/segments/40783979,3524,47,"979.4 mi","No leader yet",0,"Mindy Littlefield",351,2026-02-01T07:52:05.922367+00:00
55,"Portland, ME",1245312,https://www.strava.com/segments/1245312,3181,274,"1,002.3 mi","Cole Hoffman",345,"Tierney Beauregard",262,2026-02-01T04:38:06.499557+00:00
56,"Grapevine, TX",40803296,https://www.strava.com/segments/40803296,3155,30,"531.8 mi","Matthew Pilcher",560,"Michelle Brooks",333,2026-02-01T04:38:06.499557+00:00
57,"Fayetteville, AR",40789269,https://www.strava.com/segments/40789269,3092,32,"1,044.9 mi","Brian Hurley",661,"Patricia Schaller Pittman",414,2026-02-01T04:38:06.499557+00:00
58,"Winthrop, WA",40752506,https://www.strava.com/segments/40752506,3002,21,"1,163.2 mi","No leader yet",0,"Steph Bennett",485,2026-02-01T07:52:05.922367+00:00
59,"Spindale, NC",40770998,https://www.strava.com/segments/40770998,2963,11,"1,017.7 mi","No leader yet",0,"Karey Bunch",701,2026-01-31T19:35:38.614581+00:00
60,"Ann Arbor, MI",40775338,https://www.strava.com/segments/40775338,2739,157,"1,749.7 mi","Anthony Russel",265,"🐣 Melanie Sullivan",107,2026-02-01T14:13:56.031792+00:00
61,"Seattle, WA #2",40816424,https://www.strava.com/segments/40816424,2692,252,"487.0 mi","Ryan McIrvin 🌯 ",556,"Nicole Huston",412,2026-02-01T07:52:05.922367+00:00
62,"Winnipeg, MB",40756079,https://www.strava.com/segments/40756079,2553,88,"511.6 mi","No leader yet",0,"Carly Isaak",578,2026-02-01T07:52:05.922367+00:00
63,"Crowsnest Pass, Alberta",40748430,https://www.strava.com/segments/40748430,2121,41,"457.3 mi","Skylar Roth-MacDonald",724,"Jessica Sprague",319,2026-02-01T07:52:05.922367+00:00
64,"Red Deer, Alberta",40751328,https://www.strava.com/segments/40751328,1994,17,"511.2 mi","Sawback Tom",540,"Helene McDonald",456,2026-02-01T04:38:06.499557+00:00
65,"Ottawa, Ontario",40765374,https://www.strava.com/segments/40765374,1946,37,"639.7 mi","Dennis Kim",328,"Stephanie Aloia",302,2026-02-01T07:52:05.922367+00:00
66,"Folsom, CA",40785294,https://www.strava.com/segments/40785294,1851,99,"1,230.3 mi","roman trach",188,"Dana Trach",146,2026-02-01T14:13:56.031792+00:00
67,"Harriman, UT",40570357,https://www.strava.com/segments/40570357,1786,42,"357.3 mi","Miles Victors",311,"Chelise Draper",95,2026-02-01T04:38:06.499557+00:00
68,"Wake Forest, NC",40775063,https://www.strava.com/segments/40775063,1726,11,"316.8 mi","chad duffy",605,"Natalia Love",229,2026-01-28T03:54:02.236548+00:00
69,"Aberdeen, WA",40748814,https://www.strava.com/segments/40748814,1681,10,"397.5 mi","john wiseman",559,"Lauri Paulsen",357,2026-02-01T04:38:06.499557+00:00
70,"New Paltz, NY",40747964,https://www.strava.com/segments/40747964,1625,26,"731.3 mi","Karl LaRocca",500,"jules onamor",129,2026-02-01T04:38:06.499557+00:00
71,"Pullman, WA",40775875,https://www.strava.com/segments/40775875,1550,32,"677.6 mi","Torrey Stephenson",239,"Kayla Bishop",142,2026-02-01T07:52:05.922367+00:00
72,"Montreal, Quebec",40784187,https://www.strava.com/segments/40784187,1514,31,"644.6 mi","Ian Mekkelholt",302,"Marie-Louise Bédard",72,2026-02-01T07:52:05.922367+00:00
73,"Wellpinit, WA",40784235,https://www.strava.com/segments/40784235,1487,10,"454.9 mi","jasøn møyer",319,"Elisabeth Page",242,2026-02-01T14:13:56.031792+00:00
74,"Stamford, CT",40827297,https://www.strava.com/segments/40827297,1389,55,"1,177.4 mi","Chase Smith",166,"Charlotte Hayes",143,2026-02-01T04:38:06.499557+00:00
75,"Hamilton, Ontario",40751550,https://www.strava.com/segments/40751550,1330,12,"210.1 mi","Kyle Kirkwood",634,"Sue Campbell",59,2026-02-01T04:38:06.499557+00:00
76,"Marana, AZ",40750504,https://www.strava.com/segments/40750504,1281,25,"288.5 mi","Zack Benedict",413,"Gillian Algar",111,2026-02-01T07:52:05.922367+00:00
77,"Washington DC, DC",40754824,https://www.strava.com/segments/40754824,1270,28,"813.6 mi","Adam Rasmussen",210,"Heather Stafford",60,2026-02-01T07:52:05.922367+00:00
78,"Westfield, IN",40759112,https://www.strava.com/segments/40759112,1227,12,"442.2 mi","Abe Rickenberg",367,"Christi Dee",83,2026-02-01T04:38:06.499557+00:00
79,"Burlington, VT",40811586,https://www.strava.com/segments/40811586,1168,10,"289.2 mi","No leader yet",0,"Lila Gaudrault",677,2026-02-01T04:51:54.79299+00:00
80,"Madison Heights, MI",40755018,https://www.strava.com/segments/40755018,1123,20,"174.4 mi","No leader yet",0,"Allie Manchel",278,2026-02-01T07:59:04.479276+00:00
81,"Wilmington, DE",40801881,https://www.strava.com/segments/40801881,1112,31,"286.4 mi","Jon Frentzel",204,"Carre Zatwarnytsky",72,2026-02-01T07:59:04.479276+00:00
82,"West Hollywood, CA",40765045,https://www.strava.com/segments/40765045,1088,15,"354.1 mi","No leader yet",0,"Hillary Thornton",384,2026-02-01T04:38:06.499557+00:00
83,"Berthoud, CO",40746992,https://www.strava.com/segments/40746992,986,17,"300.2 mi","Timothy Pearl",367,"Joni Watkins 🏔️",156,2026-02-01T04:51:54.79299+00:00
84,"Roseville-Rocklin, CA",40747610,https://www.strava.com/segments/40747610,977,24,"202.1 mi","Thomas Kuhn",400,"alyson mccann",67,2026-02-01T04:51:54.79299+00:00
85,"Ojai, CA",40784248,https://www.strava.com/segments/40784248,787,12,"200.4 mi","Robell Bassett",201,"Erin Hakim",169,2026-01-28T19:54:55.145052+00:00
86,"Sydney, Australia",40753760,https://www.strava.com/segments/40753760,778,7,"267.8 mi","No leader yet",0,"Annabel Hepworth",500,2026-02-01T14:14:12.372368+00:00
87,"Hanover, NH",40769531,https://www.strava.com/segments/40769531,747,5,"150.8 mi","William Ren",339,"Anna Tracy",19,2026-02-01T04:51:54.79299+00:00
88,"Crested Butte, CO",40788318,https://www.strava.com/segments/40788318,745,14,"216.0 mi","No leader yet",0,"Lisa Brin",154,2026-02-01T07:59:04.479276+00:00
89,"Virginia Beach, VA",40750485,https://www.strava.com/segments/40750485,614,4,"364.3 mi","Adam Morel",300,"No leader yet",0,2026-01-31T19:47:41.263445+00:00
90,"Wenatchee, WA",2891757,https://www.strava.com/segments/2891757,563,9,"213.9 mi","Ray Sharp",174,"Sarah Clarke",85,2026-02-01T07:59:04.479276+00:00
91,"Saratoga Springs, NY",40761317,https://www.strava.com/segments/40761317,414,26,"87.5 mi","No leader yet",0,"Keana Albert",169,2026-02-01T04:51:54.79299+00:00
92,"St George, UT",40748892,https://www.strava.com/segments/40748892,407,19,"85.1 mi","Turd&#x27;L Miller",323,"Wendy Dawson",5,2026-02-01T07:59:04.479276+00:00
93,"Dartmouth, NS",40751687,https://www.strava.com/segments/40751687,355,13,"72.8 mi","Mike DeCoffe",193,"Carolyn F",66,2026-01-31T19:47:41.263445+00:00
94,"Coaldale, Alberta",40776360,https://www.strava.com/segments/40776360,309,4,"59.4 mi","Rob Casper",268,"Kathy Wannop",1,2026-01-24T19:58:58.28712+00:00
95,"Paris, FRANCE",40822349,https://www.strava.com/segments/40822349,284,13,"64.2 mi","Clouet Romain",60,"Sky (is the limit)",41,2026-01-31T19:47:41.263445+00:00
96,"Scarborough, Ontario",40757496,https://www.strava.com/segments/40757496,263,14,"55.3 mi","Matt Smith",105,"Margaret  Lim",11,2026-02-01T04:51:54.79299+00:00
97,"Atlanta, GA #2",40759130,https://www.strava.com/segments/40759130,243,4,"81.7 mi","Eric Knauf",149,"Emily Hull",14,2026-01-28T03:59:22.323951+00:00
98,"Madison Heights, WI",1433169,https://www.strava.com/segments/1433169,205,65,"42.8 mi","No leader yet",0,"Rachael Wendt",44,2026-01-31T19:47:41.263445+00:00
99,"Bedford, IN",40779788,https://www.strava.com/segments/40779788,193,6,"49.6 mi","Lester Burris ",111,"JoAnna Hackney",31,2026-02-01T04:51:54.79299+00:00
100,"Joshua Tree, CA",40769583,https://www.strava.com/segments/40769583,181,3,"56.9 mi","martín m",164,"Cindy  sanchez",13,2026-01-31T19:47:41.263445+00:00
101,"Auckland, New Zealand",40758106,https://www.strava.com/segments/40758106,168,5,"31.9 mi","Sam Paulin",63,"Tracey Free",38,2026-01-31T14:54:40.587814+00:00
102,"Gila Bend, AZ",40748843,https://www.strava.com/segments/40748843,135,7,"40.7 mi","No leader yet",0,"Tara Ultrarunningprayerwarrior ",105,2026-02-01T04:51:54.79299+00:00
103,"Lompoc, CA",40768724,https://www.strava.com/segments/40768724,132,2,"56.4 mi","Erik Koenig",94,"No leader yet",0,2026-01-24T19:58:58.28712+00:00
104,"Fridley & Columbia Heights, MN",40765375,https://www.strava.com/segments/40765375,112,7,"72.3 mi","CJ S",76,"Kate Prostrollo",2,2026-02-01T04:51:54.79299+00:00
105,"Richmond, VA",40797969,https://www.strava.com/segments/40797969,100,16,"34.3 mi","No leader yet",0,"Nicole Carty",34,2026-02-01T04:51:54.79299+00:00
106,"Lebanon, NH",40796096,https://www.strava.com/segments/40796096,89,6,"20.7 mi","No leader yet",0,"Brittany Crocco",71,2026-01-31T19:47:41.263445+00:00
107,"San Ramon, CA",40755882,https://www.strava.com/segments/40755882,86,10,"14.1 mi","No leader yet",0,"Sallie Arellano",21,2026-02-01T07:59:04.479276+00:00
108,"Auburn, CA",40757275,https://www.strava.com/segments/40757275,52,4,"17.1 mi","No leader yet",0,"Stephanie Schwartz",22,2026-01-24T19:58:58.28712+00:00
109,"Paris, FRANCE",40802176,https://www.strava.com/segments/40802176,44,3,"13.9 mi","Theo Bayssat",23,"No leader yet",0,2026-01-26T03:54:53.158165+00:00
110,"Decatur, GA",40788127,https://www.strava.com/segments/40788127,32,19,"5.3 mi","No leader yet",0,"Rach Malina",4,2026-01-31T14:54:40.587814+00:00
111,"Hardy, AR",40780799,https://www.strava.com/segments/40780799,32,2,"9.2 mi","Preston Rowe",29,"Leanne Rowe",3,2026-01-24T19:58:58.28712+00:00
112,"Salt Lake City, UT",40829557,https://www.strava.com/segments/40829557,29,3,"5.8 mi","Lee Addams",26,"No leader yet",0,2026-02-01T07:59:04.479276+00:00
113,"Waco, TX",40808669,https://www.strava.com/segments/40808669,19,3,"8.4 mi","No leader yet",0,"Rhiannon Settles",10,2026-01-31T19:47:41.263445+00:00
114,"Failsworth, Manchester",40792677,https://www.strava.com/segments/40792677,17,3,"19.6 mi","No leader yet",0,"Mihaela Maior",8,2026-02-01T14:14:12.372368+00:00
115,"Henryville, PA",40750978,https://www.strava.com/segments/40750978,15,1,"22.2 mi","No leader yet",0,"Valeria Wang",15,2026-01-26T03:54:53.158165+00:00
116,"Ponte Verda, FL",40752662,https://www.strava.com/segments/40752662,14,3,"5.9 mi","David Ryks",10,"Sara Nelson",2,2026-02-01T04:51:54.79299+00:00
117,"Leander, TX",40802759,https://www.strava.com/segments/40802759,12,3,"4.3 mi","Richard  Runs Trails",9,"Sarah Jenkins",1,2026-01-31T04:17:10.547508+00:00
118,"Wildwood, MO",40811702,https://www.strava.com/segments/40811702,8,8,"1.2 mi","Jason Clark",1,"Erma Groenewald",1,2026-02-01T04:51:54.79299+00:00
119,"Golden, CO",40756636,https://www.strava.com/segments/40756636,8,2,"1.9 mi","Kevin Heitman",7,"Rebecca Deutsch",1,2026-01-22T19:18:33.226109+00:00
